created_django,modified_django,img_url,full_id,look_id,hype,created,country,hashtags
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/19/5442415_inCollage_20190914_100942652.jpg?1568899172,9202428-Wild,9202428,497,2019-09-19 22:35:54.196101,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/14/5441779_inCollage_20190913_170012256_1.jpg?1568444133,9201236-Snake,9201236,343,2019-09-13 22:35:54.236499,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/13/5441695_inCollage_20190909_152733691.jpg?1568385053,9201070-Blue,9201070,366,2019-09-13 22:35:54.267945,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/13/5441666_IMG_7004.jpg?1568370159,9201014-Black-And-White,9201014,304,2019-09-12 22:35:54.335406,Ukraine,style
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/08/5441131_1f.jpg?1567955103,9199992-Girlmerry-Dress-Grey-Dress,9199992,225,2019-09-08 22:35:54.413041,Ukraine,"greydress,girlmerry"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/08/14/5438196_outfit-wild-world.jpg?1565758746,9194368-Romwe-Dip-Hem-Letters-Print-Split-White-Shirt,9194368,295,2019-09-07 22:35:54.478989,Ukraine,"animalarithmeticblog,fashionblog,blogger,ootd,outfit"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/08/13/5438096_2019-07-23-23-08-20.jpg?1565688651,9194176-Magic,9194176,542,2019-09-07 22:35:54.509879,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/08/08/5437612_20190806_162626_copy.jpg?1565295245,9193248-Girlmerry-Suit-Femmeluxefinery-Top-Suit,9193248,175,2019-08-07 22:35:54.541536,Ukraine,"girlmerry,femmeluxefinery,femmelux"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444724_viktoriya_sener_lookbook.jpg?1570462031,9206812-Shein-Dress-White-Dress,9206812,84,2019-10-07 15:35:58.284382,Turkey,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/05/5444494_image.jpg?1570304910,9206378-A-La-French,9206378,198,2019-10-05 22:35:58.305962,Turkey,french
